seed,optimize_prior,samples,linearized_pred,kfac,diffrax,solver,pcoeff,icoeff,savefig,epochs,accuracy_MAP,nll_MAP,brier_MAP,ece_map,mce_map,accuracy_posterior,nll_posterior,brier_posterior,ece_posterior,mce_posterior,accuracy_laplace,nll_laplace,brier_laplace,ece_laplace,mce_laplace,Total_time,Exmap_time,Laplace_time,NetworkTraining_time
0,False,100,False,False,True,dopri5,0.2,0.3,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,87.16981,0.285905464786312,0.0889297170325753,2.135723,9.401542,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,267.889004230499,254.986026763916,1.42828726768494,3.7631618976593
1,False,100,False,False,True,dopri5,0.2,0.3,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,87.16981,0.291946954235064,0.0903203143968761,2.9769309,11.775184,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,307.603297710419,303.672863483429,0.86598801612854,2.01518797874451
2,False,100,False,False,True,dopri5,0.2,0.3,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,87.04402,0.286766306331033,0.0899574418567937,2.0614424,10.405988,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,257.787868738174,253.859336614609,0.760586500167847,1.96832156181335
3,False,100,False,False,True,dopri5,0.2,0.3,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,87.2956,0.294849704560888,0.0903080652505324,2.3666048,7.0162535,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,323.246912956238,319.037298440933,0.832457304000855,1.97522497177124
4,False,100,False,False,True,dopri5,0.2,0.3,True,2000,86.28931,0.57855710347942,0.113791522379906,9.6567545,27.610434,87.2956,0.287296879402416,0.0905488050652956,2.8180254,8.05707,50.18868,0.696459139068649,0.251646340080021,2.5089145,2.5089145,231.079113721848,226.601879119873,0.861378192901611,2.02807140350342
5,False,100,False,False,True,dopri5,0.2,0.3,True,2000,86.28931,0.444357914970821,0.102975316516931,7.381802,18.795807,87.2956,0.291618103887959,0.090282869928984,2.7318668,9.710807,53.96226,0.68708606396019,0.246946475752439,2.2778962,23.42747,330.365570068359,325.724585056305,0.823185205459595,2.047776222229
6,False,100,False,False,True,dopri5,0.2,0.3,True,2000,87.04402,0.374678803551813,0.0970559630002234,7.9240904,28.59435,87.16981,0.291472439576096,0.0890260694505075,3.4995854,6.9286556,61.00629,0.678930646584106,0.242920488563115,7.7277074,7.7587547,305.307819843292,300.484615325928,0.840908765792847,2.06266117095947
7,False,100,False,False,True,dopri5,0.2,0.3,True,2000,86.54088,0.375502447857519,0.0993167501414034,7.5385423,25.82436,86.54088,0.295057517905022,0.0901063449013254,2.9476464,11.174238,52.07547,0.704637867669851,0.255649022076444,3.6137893,24.58246,285.232454299927,280.133682489395,0.823806047439575,2.15710496902466
8,False,100,False,False,True,dopri5,0.2,0.3,True,2000,86.666664,0.382535284141313,0.0983648318629062,7.358122,23.21313,87.92453,0.284671676357566,0.0888170128677927,1.9210093,10.711325,49.43396,0.697946044026523,0.252370349030279,4.1654077,21.098228,231.500383615494,226.179518938065,0.959229230880737,2.06725716590881
9,False,100,False,False,True,dopri5,0.2,0.3,True,2000,86.037735,0.39436460573853,0.101135788049477,8.002257,26.90462,87.04402,0.291768542101978,0.0903620361737987,2.238799,13.889832,50.31446,0.691453143861821,0.249178509930215,5.995695,14.793772,214.072020769119,208.595266580582,0.854594469070435,2.14175224304199
