seed,optimize_prior,batch_data,structure,subset,samples,linearized_pred,expmap_different_batches,test_all,save_fig,accuracy_MAP,nll_MAP,brier_MAP,ece_MAP,mce_MAP,accuracy_OURS,nll_OURS,brier_OURS,ece_OURS,mce_OURS,accuracy_LA,nll_LA,brier_LA,ece_LA,mce_LA,Total_time,Expmap_time,Laplace_time,NetworkTraining_time
655,True,False,full,all,100,True,False,False,True,87.54716981132076,0.2938649177090938,0.08745268949792867,tensor(4.2739),tensor(11.7751),86.9182389937107,0.41121267757358115,0.09895595477386146,tensor(7.5492),tensor(20.8657),87.42138364779875,0.3101766638973224,0.09065851729403888,tensor(5.5747),tensor(11.2657),976.5882589817047,961.7638373374939,0.011436700820922852,13.147022724151611
655,True,False,full,all,100,False,False,False,True,87.54716981132076,0.2938649177090938,0.08745268949792867,tensor(4.2739),tensor(11.7751),87.79874213836479,0.2691158137083604,0.08506243148329334,tensor(2.8743),tensor(12.8722),64.52830188679245,0.6682148473067854,0.23756416107845196,tensor(11.9662),tensor(25.7856),858.5615313053131,843.9769563674927,0.006302595138549805,13.560660600662231
655,False,False,full,all,100,True,False,False,True,87.54716981132076,0.2938649177090938,0.08745268949792867,tensor(4.2739),tensor(11.7751),87.04402515723271,0.9324575756186962,0.11321361171883645,tensor(9.7390),tensor(17.3694),87.04402515723271,0.39145807524522147,0.1155174120349428,tensor(12.1191),tensor(19.0910),1840.7062907218933,1826.5614874362946,0.006578922271728516,12.877038478851318
655,False,False,full,all,100,False,False,False,True,87.54716981132076,0.2938649177090938,0.08745268949792867,tensor(4.2739),tensor(11.7751),88.42767295597484,0.2792202693615226,0.08377328872891593,tensor(3.1701),tensor(5.4943),49.81132075471698,0.7026468325710896,0.2546906498354248,tensor(3.4975),tensor(46.7931),797.2476780414581,783.4597795009613,0.005807161331176758,12.988452196121216
115,True,False,full,all,100,True,False,False,True,86.28930817610063,0.3233492596845528,0.09352426095845859,tensor(5.8295),tensor(17.0276),87.16981132075472,0.3916810412862142,0.09564455128607022,tensor(7.0524),tensor(20.1264),86.16352201257862,0.32275916947602473,0.09488438138124197,tensor(6.5229),tensor(9.3380),1036.5448913574219,1022.2905042171478,0.005751371383666992,12.7870032787323
115,True,False,full,all,100,False,False,False,True,86.28930817610063,0.3233492596845528,0.09352426095845859,tensor(5.8295),tensor(17.0276),87.29559748427673,0.2692094905376793,0.08497531116479207,tensor(2.6714),tensor(15.7629),66.28930817610062,0.6695062204726837,0.23825419641772577,tensor(12.3571),tensor(32.3999),891.7895700931549,877.9724547863007,0.005878925323486328,12.793556928634644
115,False,False,full,all,100,True,False,False,True,86.28930817610063,0.3233492596845528,0.09352426095845859,tensor(5.8295),tensor(17.0276),85.15723270440252,1.0139844993894098,0.12828694696675386,tensor(11.1700),tensor(29.1477),86.66666666666667,0.3775430305573925,0.10989223402718892,tensor(10.7825),tensor(16.5352),1862.183687210083,1848.1030583381653,0.005755186080932617,12.810928583145142
115,False,False,full,all,100,False,False,False,True,86.28930817610063,0.3233492596845528,0.09352426095845859,tensor(5.8295),tensor(17.0276),86.9182389937107,0.2835884695238787,0.0876285566403508,tensor(2.8611),tensor(9.9764),51.069182389937104,0.7000002673586959,0.25338903877565466,tensor(3.3027),tensor(8.9311),901.9786021709442,888.3802304267883,0.005821943283081055,12.774065971374512
26,True,False,full,all,100,True,False,False,True,87.29559748427673,0.34314524533486074,0.09104192308147907,tensor(5.1467),tensor(15.7763),88.93081761006289,0.3752376869493578,0.09056622139264833,tensor(6.2368),tensor(19.3255),87.04402515723271,0.3256960800515031,0.09351130103370556,tensor(7.6658),tensor(10.1766),1077.6575236320496,1063.2981247901917,0.0057680606842041016,12.877236127853394
26,True,False,full,all,100,False,False,False,True,87.29559748427673,0.34314524533486074,0.09104192308147907,tensor(5.1467),tensor(15.7763),87.67295597484276,0.27718386196680717,0.08415231366111275,tensor(3.9956),tensor(15.1864),63.270440251572325,0.6601203423251146,0.23362018424225295,tensor(8.5066),tensor(20.9154),887.2609243392944,873.4782373905182,0.0059051513671875,12.751539707183838
26,False,False,full,all,100,True,False,False,True,87.29559748427673,0.34314524533486074,0.09104192308147907,tensor(5.1467),tensor(15.7763),85.40880503144655,0.8615188707368987,0.11387257760361272,tensor(9.4091),tensor(19.6185),87.42138364779875,0.38489743443030233,0.11157562015282942,tensor(12.8722),tensor(16.7058),1861.598429441452,1847.5274782180786,0.005886077880859375,12.784146547317505
26,False,False,full,all,100,False,False,False,True,87.29559748427673,0.34314524533486074,0.09104192308147907,tensor(5.1467),tensor(15.7763),87.54716981132076,0.28053758423050584,0.08643888472910344,tensor(2.0103),tensor(4.4217),48.55345911949686,0.7002637285856331,0.2535371946040943,tensor(4.4379),tensor(60.6940),927.6320209503174,914.0651817321777,0.0058062076568603516,12.79548454284668
760,True,False,full,all,100,True,False,False,True,87.16981132075472,0.3324570174218468,0.09149232326008978,tensor(5.6195),tensor(14.9744),87.54716981132076,0.37659359633564393,0.08958814144729028,tensor(5.7393),tensor(16.9382),87.16981132075472,0.33005982412950796,0.09538279414537157,tensor(8.0171),tensor(10.0220),1220.2211310863495,1205.8350188732147,0.005997419357299805,12.90615701675415
760,True,False,full,all,100,False,False,False,True,87.16981132075472,0.3324570174218468,0.09149232326008978,tensor(5.6195),tensor(14.9744),86.79245283018868,0.32075920695608845,0.09521782243997544,tensor(6.3973),tensor(22.1295),59.74842767295597,0.6756200552736439,0.24131780398762373,tensor(5.3580),tensor(38.3391),980.2393705844879,966.386937379837,0.005922794342041016,12.833750247955322
760,False,False,full,all,100,True,False,False,True,87.16981132075472,0.3324570174218468,0.09149232326008978,tensor(5.6195),tensor(14.9744),85.15723270440252,0.829176773144381,0.11795213560050731,tensor(10.7095),tensor(34.8369),87.67295597484276,0.4086529821016878,0.12089596611717926,tensor(14.3967),tensor(18.3999),1986.8387455940247,1972.8113596439362,0.0058934688568115234,12.759175539016724
760,False,False,full,all,100,False,False,False,True,87.16981132075472,0.3324570174218468,0.09149232326008978,tensor(5.6195),tensor(14.9744),87.04402515723271,0.27824317176980784,0.0863510497486958,tensor(2.5708),tensor(13.7497),48.930817610062896,0.6924078846502604,0.24965633015541494,tensor(4.7423),tensor(6.4201),1443.1904397010803,1429.6553053855896,0.005836963653564453,12.78248381614685
282,True,False,full,all,100,True,False,False,True,87.67295597484276,0.32396022527540314,0.08960314029825062,tensor(4.8471),tensor(13.2600),88.67924528301887,0.3369574698578817,0.08530583210346233,tensor(5.1702),tensor(20.3186),87.9245283018868,0.3265553183150741,0.09348982506399886,tensor(7.6373),tensor(10.4063),1268.7528507709503,1254.5319974422455,0.005855083465576172,12.784249305725098
282,True,False,full,all,100,False,False,False,True,87.67295597484276,0.32396022527540314,0.08960314029825062,tensor(4.8471),tensor(13.2600),86.79245283018868,0.3072018191766956,0.09192211478355272,tensor(6.3243),tensor(29.5104),58.61635220125786,0.6760963667113826,0.24161595402462224,tensor(3.9217),tensor(14.8915),905.327005147934,891.3486621379852,0.005929231643676758,12.95531439781189
282,False,False,full,all,100,True,False,False,True,87.67295597484276,0.32396022527540314,0.08960314029825062,tensor(4.8471),tensor(13.2600),84.40251572327044,1.0725191489560963,0.12502262740549738,tensor(11.3705),tensor(45.2063),87.9245283018868,0.3934842453906371,0.1145737289080943,tensor(13.8234),tensor(18.8985),1671.7903027534485,1657.7977538108826,0.005858182907104492,12.727082252502441
