seed,optimize_prior,samples,linearized_pred,kfac,diffrax,solver,savefig,epochs,accuracy_MAP,nll_MAP,brier_MAP,ece_map,mce_map,accuracy_posterior,nll_posterior,brier_posterior,ece_posterior,mce_posterior,accuracy_laplace,nll_laplace,brier_laplace,ece_laplace,mce_laplace,Total_time,Exmap_time,Laplace_time,NetworkTraining_time,
0,False,100,False,True,True,dopri5,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,87.16981,0.351327105397833,0.104547021198574,9.9846,13.989603,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,33.644063949585,21.3508584499359,1.56891703605652,3.44948029518127,"Pcoeff=0.0, icoeff=1.0, dcoeff=0.0"
1,False,100,False,True,True,dopri5,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,87.2956,0.341627534170627,0.100204250806286,9.53261,13.937634,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,25.9607801437378,20.6747810840607,1.09917879104614,3.0189950466156,dopri5 avg
2,False,100,False,True,True,dopri5,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,87.42138,0.341907340548323,0.100857376819004,9.650153,12.199908,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,25.0330812931061,20.2428152561188,1.12085223197937,2.4103672504425,22.3277938167254
3,False,100,False,True,True,dopri5,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,87.42138,0.343674867434468,0.1022007489366,9.765034,13.28035,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,26.3324980735779,22.2178535461426,0.780930519104004,1.99909687042236,tsit5 avg
0,False,100,False,True,True,tsit5,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,87.92453,0.345352305696503,0.101703247378226,10.363274,14.738375,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,31.0843470096588,26.7509462833405,0.89640998840332,1.93592715263367,27.5284832318624
1,False,100,False,True,True,tsit5,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,87.54717,0.345722275470457,0.102138172269517,10.068081,16.027237,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,30.2641801834106,25.7022662162781,0.889388084411621,1.97421455383301,bosh5 avg
2,False,100,False,True,True,tsit5,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,87.67296,0.341418417827551,0.100682823025211,9.752702,12.562966,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,30.9174048900604,26.2447459697723,0.872334957122803,1.93270039558411,27.8674694624814
3,False,100,False,True,True,tsit5,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,87.16981,0.344305466136011,0.101947575718014,9.613818,15.308296,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,32.5365784168243,27.5130023956299,0.937760591506958,1.93119120597839,
0,False,100,False,True,True,bosh3,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,87.92453,0.346643932570465,0.101853692048268,10.559434,14.181823,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,35.701767206192,30.1695256233215,0.958857536315918,2.3427472114563,
1,False,100,False,True,True,bosh3,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,86.918236,0.343325709324895,0.101784634878087,8.838481,13.657724,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,34.4118096828461,28.8785333633423,0.8870849609375,2.007328748703,
